SMILES,BBB
[H]C([H])([H])Oc1ccc(-n2nc3c4ccc(OC([H])([H])[H])cc4[nH]cc-3c2=O)cc1,1
[H]C([H])([H])Oc1ccc2c3nn(-c4ccc(OC)cc4)c(=O)c-3c[nH]c2c1,1
[H]C([H])([H])Oc1ccccc1-n1nc2c3cc(Cl)ccc3[nH]cc-2c1=O,1
[Ar],1
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,1
C[N+]1(C)CCCC(OC(=O)[C+](O)(c2ccccc2)c2ccccc2)C1,0
[Kr],1
[N][N],1
[Ne],1
N#[N+][O-],1
CC(C)(C)[N+]([O-])=Cc1ccccc1,1
O=[N+]([O-])c1cc[nH]c1NCCSCc1ncccc1Br,1
CC(C)(C)[N+]([O-])=Cc1cc[n+]([O-])cc1,1
[Rn],1
[Xe],1
CC(C)Br,1
FC(F)(F)CC(Cl)Br,1
FC(Br)CC(F)(F)F,1
Brc1cccc(Br)c1N=C1NCCN1,1
Brc1cc(Br)c(N=C2NCCN2)c(Br)c1,1
O=c1c(Br)ccc2n1CC1CNCC2C1,1
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccc(Br)cc1)c1ccc(F)cc1,1
CCN=C(NC#N)NCCSCc1ncccc1Br,0
O=c1cccc2n1CC1CNC(Br)C2C1,1
CN1CN(c2ccc(Br)cc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,1
CCCBr,1
C,1
Nc1nc(O)c2c(n1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O,1
C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)[C+]1CCCCC1)C2,0
c1cnc2c(c1)C(Cc1ccncc1)(Cc1ccncc1)c1cccnc1-2,1
C=CCCCCCC,1
CCCCCCCC,1
C=CCCCCCCC,1
CCCCCCCCC,1
C=CCCCCCCCC,1
CCCCCC(C)C,1
CCCCCCCCCC,1
CCCCCCC(C)C,1
CCCCCCCC(C)C,1
CC1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)COC1F,1
CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)COCC(N)=N1,1
CC(NC(=O)C(C)(Cc1c[nH]c2ccccc12)NC(=O)OCc1cc2ccccc2o1)c1ccccc1,1
CC(NC(=O)C(Cc1c[nH]c2ccccc12)(CN(C)C)NC(=O)OCc1cc2ccccc2o1)c1ccccc1,1
CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,0
O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,0
C=CC#N,1
C=CC=C,1
C=Cc1ccccc1,1
CNC(=NC#N)NCCSCc1nc[nH]c1C,0
CC(=O)NC1C(I)C(NC(C)=O)C(I)C(C(=O)O)C1I,0
CN(C)N=Nc1[nH]cnc1C(N)=O,1
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2ccsc2C1CN1CCCC1,1
Cc1ccc(C(=O)NCC2CN=C(c3ccc(F)cc3)c3ccc(C)cc3N2C)cc1,1
CNC(=NC#N)NCCSCc1csc(N=C(N)N)n1,1
CNC(=NC#N)NCCSCc1csc(NC(=N)N)n1,1
CNC(=C[N+](=O)[O-])NCCS[CH]c1ccc(CN(C)C)o1,0
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,0
COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,0
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,0
Oc1ncnc2[nH]ncc12,1
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,0
c1cc2ccc3cccc4ccc(c1)c2c34,1
COc1cccnc1CCCCNc1nc(=O)c(Cc2ccc(C)nc2)c[nH]1,0
Cc1ccc(Cc2c[nH]c(NCCCCc3ncc(Br)cc3C)nc2=O)cn1,0
CC1CCC(C)C(C)C1,1
Cc1ccc(C)c(C)c1,1
CC1CCCCC1C,1
NCC(CC(=O)O)c1ccc(Cl)cc1,0
CCC(C)N1CCN(c2ccc(I)cc2)CC1,1
CCCCCCN1CCN(c2ccc(I)cc2)CC1,1
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,1
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,0
CC1CCCCC1,1
CC(C)(C)c1ccccc1,1
CC(C)(C)C1CCCCC1,1
CCC(O)(CC(N)=O)c1ccccc1,1
CCCCCCn1ccc(=O)c(O)c1C,1
O=[N+]([O-])c1nccn1CCCF,1
c1ccc(NC2=NCCN2)cc1,0
O=[N+]([O-])c1nccn1CC(O)COCF,1
C1CO1,1
C1=C(CC2=NCCN2)CCc2ccccc21,1
C1=CCC2=C3C(=NC2=C1)CCNC3Cc1ccccc1,1
CC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,1
CC(=O)C1=C(O)C(N)C2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)C2(O)C1=O,0
CC(=O)CC(=O)C12OC(C)(C)OC1CC1C3CC(C#N)=C4C=C(OCCCl)CCC4(C)C3(F)C(O)CC12C,1
CC(=O)CC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(Cl)CC21C,1
CC(=O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O,1
CC(=O)OCC(=O)C1(OC(C)=O)CCC2C3CC(F)C4=CC(=O)C(Br)=CC4(C)C3(F)C(O)CC21C,1
CC(C)(C)c1ccc(OC(F)(F)F)c(CNC2CCCNC2c2ccccc2)c1,1
CC(C)(C)c1nc(N2CCN(CCCSc3nccc(=O)[nH]3)CC2)cc(C(F)(F)F)n1,1
CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,1
CC(C)(C)O,1
CC(C)(C)OC(=O)c1ncn2c1C1CCCN1C(=O)c1cc(Br)ccc1-2,1
CC(C)(O)C(Cl)(Cl)Cl,1
CC(C)(O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O,1
CC(C)c1cc(CNC(=O)c2ccc(Cl)c(OC3CCN(C)CC3)c2)on1,1
CC(C)c1csc(NC(=O)C2c3ccccc3Oc3ccccc32)n1,1
CC1COC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C)COC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC1=O,0
CC(=O)OCC1=COC(OC(=O)CC(C)(C)OC(C)=O)C2C1=CC(OC(=O)CC(C)C)C21CO1,1
CC(C)CC(N)C(=O)NC(CCCN)C(=O)NC(C(=O)NC(CCCN)C(=O)N1CCCC1C(=O)NC(C=O)Cc1ccccc1)C(C)C,0
CCCCC(C)C,1
CC(=O)OC1CCC2(C)C3CCC4(C)C(C(C)CCCC(C)C)CCC4C3CC(Br)C2(Br)C1,1
CC(=O)OCC(C)C,1
CC(C)COc1cccc(CC(=O)N2CCNc3nc(C(F)(F)F)ccc3C2CC(=O)O)c1,0
CC(C)N1CCCC1CNC(=O)c1cn(C2CCCC2)c(=O)c2c1c1ccccc1n2C,1
CC(C)N1CCOC(c2cccc(C(F)(F)F)c2)C1,1
C=CCc1ccccc1OCC(O)CNC(C)C,1
C=CCOc1ccccc1OCC(O)CNC(C)C,1
Cc1cccc(OCC(O)CNC(C)C)c1,1
CC(=O)OC(C)C,1
CC(C)Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,1
Cc1nc2cc(CNC3CCCNC3c3ccccc3)c(OC(C)C)cc2s1,1
Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C(C)C)cc3)c(N)c2c1C,0
CC(F)OC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,1
CC(N)Cc1ccc(O)cc1,0
CC(O)C1C(=O)N2C(C(=O)O)=C(SCCNC=N)CC12,0
CC(O)C1C(=O)N2C(C(=O)O)=C(F)SC12,0
COC(C)(C)C,1
CCOC(C)(C)C,1
CC(=O)OCCC(C)C,1
CCCOC(C)=O,1
CCCCCOC(C)=O,1
CCC(NC(=O)c1cnn2cc(C)cnc12)c1ccc(OC(F)(F)F)cc1,1
C=CC,1
CC1(C)CCC(Nc2ncnc3c2nn2ccccc32)CC1,1
Cc1ccccc1N=C1NCCN1,0
CC1=C(C(=O)OCC(=O)OC(C)(C)C)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,0
Cc1ccc(N=C2NCCN2)c(C)c1,0
Cc1ccc(N=C2NCCN2)c(Cl)c1,1
Cc1cc(Br)cc(C)c1N=C1NCCN1,1
Cc1cc(Cl)ccc1N=C1NCCN1,1
CC1=CCCC1NC(=O)Nc1ccc(C#N)c(S(=O)(=O)C(C)(C)C)c1O,0
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C2(C)CCOC2)c1O,0
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C2CC(N3CCCC3)C2)c1O,0
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C(C)(C)C2CCOC2)c1O,1
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C(C)(C)C(F)(F)F)c1O,1
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C(C)(C)CF)c1O,1
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C(C)(F)F)c1O,0
CC12CC(N)C1CN(c1nc3c(cc1F)c(=O)c(C(=O)O)cn3C1CC1)C2,0
CC12C=CC(=O)C=C1C(Cl)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1
CC12C=CC(=O)C1C(=O)CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1
CC12CCC(=O)C=C1CCC1C2C2CC3(C(O)O2)C(C(=O)CO)CCC13,0
CC1c2ccccc2N(C(N)=O)c2ccccc2C1C,1
Cc1cc(C23c4ccccc4C(=O)N2CCN3C(=O)c2ccc(F)c(F)c2)ccc1Cl,1
Cc1cc(-c2ccccc2)nnc1N1CCN(c2ncccn2)CC1,1
Cc1cc(-c2ccc(O)cc2)nnc1NCCN1CCOCC1,1
Cc1cc(O)c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)cn1,0
Cc1ccc(-n2nc(C)c3ccc(-c4ccc(C5CC5C(=O)O)cc4)cc32)cc1,1
Cc1ccc(CN2CCC(F)(F)C(CCc3ccccc3)C2)cc1C,1
Cc1ccc(CN2CCOC(CSc3ccccc3)C2)cc1C,1
Cc1ccc(-n2nc(C)c3cnc(-c4ccc(C5CC5C(=O)O)cc4F)cc32)nc1,1
Cc1ccc(Oc2cccc(CC(=O)N3CCNc4nc(C(F)(F)F)ccc4C3CC(=O)O)c2)cn1,0
Cc1ccc(OC2CCN(c3c(C#N)cnc4ccc(F)cc34)CC2)cn1,1
Cc1ccc(OC2CCN(c3cc(C)nc4ccc(F)cc34)CC2)cn1,1
Cc1ccc(OC2CCN(c3nc(C)nn4ccc(C)c34)CC2)cn1,1
Cc1ccc(OC2CCN(c3ncnc4ccc(F)cc34)CC2)cn1,1
Cc1ccc(OC2CCN(c3ncnc4sc(C)c(C)c34)CC2)cn1,1
Cc1ccc2ncnc(N3CCC(Oc4ccc(C)nc4)CC3)c2c1,1
CC1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1
Cc1ncc(OC2CCN(c3ncnc4sc(C)c(C)c34)CC2)cn1,1
Cc1nnc2sc(C(=O)NC3CN(C(=O)c4ccncc4)C3)c(N)c2c1C,0
Cc1nnc2sc(C(=O)NC3CN(c4ccc(C(F)(F)F)nc4)C3)c(N)c2c1C,1
Cc1nnc2sc(C(=O)NC3CN(c4cccc(F)c4F)C3)c(N)c2c1C,1
Cc1nnc2sc(C(=O)NC3CN(c4ccccc4)C3)c(N)c2c1C,1
Cc1nnc2sc(C(=O)NC3CN(c4cccnc4)C3)c(N)c2c1C,0
Cc1nnc2sc(C(=O)NC3CN(c4ccncn4)C3)c(N)c2c1C,0
Cc1nnc2sc(C(=O)NC3CN(c4cnccn4)C3)c(N)c2c1C,0
Cc1nnc2sc(C(=O)NC3CN(c4cncnc4)C3)c(N)c2c1C,0
Cc1nnc2sc(C(=O)NC3CN(c4nc5cccnc5s4)C3)c(N)c2c1C,1
Cc1nnc2sc(C(=O)NCc3ccc(S(C)(=O)=O)c(F)c3)c(N)c2c1C,1
Cc1nnc2sc(C(=O)NCc3ccc(-c4ccc(F)nc4)cc3)c(N)c2c1C,1
Cc1nnc2sc(C(=O)NCc3ccc(-c4cccnc4F)cc3)c(N)c2c1C,1
Cc1nnc2sc(C(=O)NCc3ccc(-c4ccnc(F)c4)cc3)c(N)c2c1C,1
Cc1nnc2sc(C(=O)NCc3ccc(-c4ccncc4)cc3)c(N)c2c1C,1
Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C(C)(C)C)cc3)c(N)c2c1C,1
Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C(F)(F)F)cc3)c(N)c2c1C,1
Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C(F)F)cc3)c(N)c2c1C,1
Cc1nnc2sc(C(=O)NCc3ccc(S(C)(=O)=O)cc3)c(N)c2c1C,0
Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C4CC4)cc3)c(N)c2c1C,0
Cc1nnc2sc(C(=O)NCc3ccc(S(F)(F)(F)(F)F)cc3)c(N)c2c1C,1
Cc1noc(C)c1S(=O)(=O)N1CCN(c2ccc(N3CCCC(C)(C)C3)nn2)CC1,1
Cc1sc2ncnc(N3CCC(C(=O)N4CCC(F)C4)CC3)c2c1C,1
Cc1sc2ncnc(N3CCC(C(=O)N4CCCC4)CC3)c2c1C,1
Cc1sc2ncnc(N3CCC(Oc4ccc(Cl)nc4)CC3)c2c1C,1
Cc1sc2ncnc(N3CCC(Oc4ccc(F)nc4)CC3)c2c1C,1
Cc1sc2ncnc(N3CCC(Oc4ccc5c(c4)CCO5)CC3)c2c1C,1
CC1(C)C(NCC(=NOCC(=O)O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,0
Cc1c(I)c(=O)n(-c2ccccc2)n1C,1
Cc1cccc(Cc2c[nH]cn2)c1C,1
Cc1nn(C)c2c1C(c1cccc(Cl)c1)=NCCN2,1
